Series Name,Series Code,Country Name,Country Code,2023 [YR2023]
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Afghanistan,AFG,14.8064047847023
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Albania,ALB,40.69405658432
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Algeria,DZA,43.309804948654
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,American Samoa,ASM,..
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Andorra,AND,0.603563370465285
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Angola,AGO,209.794208294387
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Antigua and Barbuda,ATG,1.82975886781575
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Argentina,ARG,139.721870365667
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Armenia,ARM,148.09152970721
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Aruba,ABW,1.35282116097067
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Australia,AUS,1.369197
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Austria,AUT,0.737191
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Azerbaijan,AZE,0.51335400569404
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,"Bahamas, The",BHS,0.976986677146743
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Bahrain,BHR,0.173018958851266
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Bangladesh,BGD,28.6306777887607
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Barbados,BRB,2.2313319471701
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Belarus,BLR,0.76535733770338
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Belgium,BEL,0.734306
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Belize,BLZ,1.07932602259569
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Benin,BEN,204.79149665514
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Bermuda,BMU,1.15651546560852
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Bhutan,BTN,..
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Bolivia,BOL,2.33149271757576
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Bosnia and Herzegovina,BIH,0.6980051142244
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Botswana,BWA,5.08342112692872
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Brazil,BRA,2.43595911597318
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,British Virgin Islands,VGB,..
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Brunei Darussalam,BRN,0.519210636342662
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Bulgaria,BGR,0.76805086383036
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Burkina Faso,BFA,194.362478765867
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Burundi,BDI,723.894519014926
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Cabo Verde,CPV,47.9065770590459
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Cambodia,KHM,1345.07260471262
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Cameroon,CMR,194.896445831458
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Canada,CAN,1.137311
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Cayman Islands,CYM,0.939650949246276
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Central African Republic,CAF,238.799784946826
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Chad,TCD,221.496090534004
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Channel Islands,CHI,..
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Chile,CHL,435.895551
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,China,CHN,3.636979368794
